City,Population (000s),2020 BEV,2020 PHEV,2020 Public Level 2,2020 DC Fast Charge,2020 BEV per cap,2020 Combined per cap,2020 PL2 per cap,2020 DC Fast per cap,2020 PL2 per BEV,2020 DC per BEV,2020 PL2 per Comb
New York,19979.48,33680,57305,3896,405,1.69,4.55,0.195,0.020,0.116,0.012,0.043
LA,13291.49,132009,149349,8948,1008,9.93,21.17,0.673,0.076,0.068,0.008,0.032
Chicago,9498.72,35175,21004,1342,153,3.70,5.91,0.141,0.016,0.038,0.004,0.024
Dallas,7539.71,9744,6150,779,119,1.29,2.11,0.103,0.016,0.080,0.012,0.049
Houston,6997.38,5781,4323,560,85,0.83,1.44,0.080,0.012,0.097,0.015,0.055
Washington DC,6249.95,14150,17205,1502,181,2.26,5.02,0.240,0.029,0.106,0.013,0.048
Miami,6198.78,12510,9491,1031,146,2.02,3.55,0.166,0.024,0.082,0.012,0.047
Philadelphia,6096.37,6997,11870,945,98,1.15,3.09,0.155,0.016,0.135,0.014,0.050
Atlanta,5949.95,26535,7107,1303,374,4.46,5.65,0.219,0.063,0.049,0.014,0.039
Boston,4875.39,12064,17172,1372,146,2.47,6.00,0.281,0.030,0.114,0.012,0.047
San Diego,3343.36,27986,24540,1646,223,8.37,15.71,0.492,0.067,0.059,0.008,0.031
San Francisco,4729.48,81951,55710,4101,573,17.33,29.11,0.867,0.121,0.050,0.007,0.030
